id,first_name,second_name,now_cost,name,club,position,total_points,weighted_points
17,Nicolas,Pépé,69,Arsenal,ARS,MID,110.0,165.66666666666663
18,Lucas,Torreira,45,Arsenal,ARS,MID,62.0,90.33333333333333
21,Emile,Smith Rowe,58,Arsenal,ARS,MID,39.0,62.0
22,Bukayo,Saka,65,Arsenal,ARS,MID,62.0,88.94444444444444
25,Mattéo,Guendouzi,45,Arsenal,ARS,MID,47.5,71.33333333333333
26,Gabriel Teodoro,Martinelli Silva,53,Arsenal,ARS,MID,37.5,56.0
531,Reiss,Nelson,50,Arsenal,ARS,MID,12.333333333333334,16.625
558,Martin,Ødegaard,55,Arsenal,ARS,MID,40.0,80.0
19,Joseph,Willock,58,Newcastle,NEW,MID,31.75,43.0
291,Jonjo,Shelvey,53,Newcastle,NEW,MID,71.11111111111111,79.6074074074074
297,Jeff,Hendrick,48,Newcastle,NEW,MID,70.6,83.84
298,Ryan,Fraser,53,Newcastle,NEW,MID,98.0,115.65333333333334
304,Jacob,Murphy,47,Newcastle,NEW,MID,45.333333333333336,62.42857142857142
306,Isaac,Hayden,45,Newcastle,NEW,MID,55.75,69.69444444444444
308,Miguel,Almirón,51,Newcastle,NEW,MID,78.0,107.83333333333333
309,Sean,Longstaff,44,Newcastle,NEW,MID,42.5,63.5
312,Matthew,Longstaff,45,Newcastle,NEW,MID,18.5,26.333333333333332
609,Elliot,Anderson,45,Newcastle,NEW,MID,1.0,2.0
356,Erik,Lamela,60,Spurs,TOT,MID,59.125,66.19791666666666
359,Heung-Min,Son,108,Spurs,TOT,MID,163.0,193.16666666666666
362,Lucas,Rodrigues Moura da Silva,62,Spurs,TOT,MID,80.5,102.82499999999999
365,Pierre-Emile,Højbjerg,49,Spurs,TOT,MID,69.8,86.08
366,Harry,Winks,44,Spurs,TOT,MID,37.0,44.39333333333333
369,Steven,Bergwijn,59,Spurs,TOT,MID,49.0,74.5
372,Giovani,Lo Celso,59,Spurs,TOT,MID,44.5,65.16666666666666
373,Oliver,Skipp,44,Spurs,TOT,MID,9.5,13.833333333333332
375,Tanguy,Ndombele,57,Spurs,TOT,MID,72.0,112.49999999999999
29,Conor,Hourihane,49,Aston Villa,AVL,MID,51.5,72.0
32,Bertrand,Traoré,57,Aston Villa,AVL,MID,81.5,135.625
34,Morgan,Sanson,50,Aston Villa,AVL,MID,10.0,20.0
35,John,McGinn,57,Aston Villa,AVL,MID,99.0,151.0
37,Mahmoud Ahmed,Ibrahim Hassan,54,Aston Villa,AVL,MID,77.0,112.0
41,Marvelous,Nakamba,44,Aston Villa,AVL,MID,35.0,51.16666666666666
43,Emiliano,Buendía Stati,62,Aston Villa,AVL,MID,94.0,188.0
50,Douglas Luiz,Soares de Paulo,44,Aston Villa,AVL,MID,81.0,120.0
51,Jacob,Ramsey,48,Aston Villa,AVL,MID,28.0,56.0
497,Jaden,Philogene-Bidace,50,Aston Villa,AVL,MID,1.0,2.0
526,Carney,Chukwuemeka,45,Aston Villa,AVL,MID,2.0,4.0
681,Philippe,Coutinho Correia,74,Aston Villa,AVL,MID,120.16666666666667,141.50793650793653
123,Jorge Luiz,Frello Filho,58,Chelsea,CHE,MID,100.66666666666667,135.2222222222222
124,Ross,Barkley,52,Chelsea,CHE,MID,72.2,79.88461538461539
125,Mateo,Kovacic,50,Chelsea,CHE,MID,62.0,82.1111111111111
130,N'Golo,Kanté,49,Chelsea,CHE,MID,87.83333333333333,101.3095238095238
131,Hakim,Ziyech,73,Chelsea,CHE,MID,70.0,140.0
132,Ruben,Loftus-Cheek,54,Chelsea,CHE,MID,38.42857142857143,45.107142857142854
137,Christian,Pulisic,79,Chelsea,CHE,MID,104.5,153.0
138,Mason,Mount,75,Chelsea,CHE,MID,142.0,213.83333333333331
140,Callum,Hudson-Odoi,53,Chelsea,CHE,MID,33.0,43.825
141,Kai,Havertz,78,Chelsea,CHE,MID,91.0,182.0
42,Anwar,El Ghazi,56,Everton,EVE,MID,102.0,154.5
163,Fabian,Delph,43,Everton,EVE,MID,33.666666666666664,36.4775641025641
164,Gylfi,Sigurdsson,67,Everton,EVE,MID,123.9,136.9309090909091
166,James,Rodríguez,69,Everton,EVE,MID,101.0,202.0
167,Bernard,Anício Caldeira Duarte,55,Everton,EVE,MID,60.333333333333336,76.72222222222223
171,Allan,Marques Loureiro,43,Everton,EVE,MID,47.0,94.0
172,André Filipe,Tavares Gomes,49,Everton,EVE,MID,50.333333333333336,66.22222222222223
173,Abdoulaye,Doucouré,53,Everton,EVE,MID,113.25,139.325
174,Alex,Iwobi,58,Everton,EVE,MID,72.66666666666667,84.83333333333333
176,Tom,Davies,48,Everton,EVE,MID,44.166666666666664,52.174603174603185
282,Donny,van de Beek,57,Everton,EVE,MID,32.0,64.0
363,Bamidele,Alli,62,Everton,EVE,MID,134.5,152.61111111111111
482,Andros,Townsend,52,Everton,EVE,MID,80.44444444444444,90.0952380952381
484,Demarai,Gray,55,Everton,EVE,MID,47.5,54.92857142857142
503,Anthony,Gordon,45,Everton,EVE,MID,10.0,13.833333333333332
504,Jean-Philippe,Gbamin,44,Everton,EVE,MID,2.5,3.5
202,Marc,Albrighton,52,Leicester,LEI,MID,64.41666666666667,70.2388888888889
203,Nampalys,Mendy,43,Leicester,LEI,MID,29.0,37.25
206,Dennis,Praet,49,Leicester,LEI,MID,45.5,66.83333333333333
210,Youri,Tielemans,64,Leicester,LEI,MID,104.33333333333333,143.0
211,Ayoze,Pérez,57,Leicester,LEI,MID,107.16666666666667,124.73015873015873
212,James,Maddison,68,Leicester,LEI,MID,131.66666666666666,175.33333333333334
214,Hamza,Choudhury,44,Leicester,LEI,MID,20.5,25.849999999999998
215,Harvey,Barnes,65,Leicester,LEI,MID,76.25,101.05
216,Wilfred,Ndidi,48,Leicester,LEI,MID,78.0,94.22666666666666
587,Ademola,Lookman,60,Leicester,LEI,MID,41.75,57.04545454545455
221,James,Milner,49,Liverpool,LIV,MID,99.73333333333333,105.79777777777777
222,Jordan,Henderson,50,Liverpool,LIV,MID,88.07692307692308,94.93744716821638
225,Thiago,Alcántara do Nascimento,53,Liverpool,LIV,MID,55.0,110.0
226,Xherdan,Shaqiri,59,Liverpool,LIV,MID,76.83333333333333,87.19047619047619
227,Alex,Oxlade-Chamberlain,58,Liverpool,LIV,MID,52.1,57.19636363636364
230,Sadio,Mané,117,Liverpool,LIV,MID,175.42857142857142,202.09183673469389
232,Fabio Henrique,Tavares,54,Liverpool,LIV,MID,71.0,95.0
233,Mohamed,Salah,132,Liverpool,LIV,MID,205.8,252.10666666666665
236,Takumi,Minamino,51,Liverpool,LIV,MID,29.5,47.333333333333336
239,Naby,Keita,50,Liverpool,LIV,MID,44.666666666666664,56.666666666666664
240,Diogo,Jota,83,Liverpool,LIV,MID,110.0,143.72222222222223
244,Curtis,Jones,50,Liverpool,LIV,MID,31.5,48.57142857142857
506,Harvey,Elliott,53,Liverpool,LIV,MID,2.0,3.0
553,Ben,Woodburn,45,Liverpool,LIV,MID,3.0,4.166666666666666
332,Theo,Walcott,58,Southampton,SOU,MID,89.86666666666666,95.93944444444443
335,Oriol,Romeu Vidal,45,Southampton,SOU,MID,48.25,54.989583333333336
336,Nathan,Redmond,59,Southampton,SOU,MID,99.85714285714286,114.00680272108845
339,Stuart,Armstrong,58,Southampton,SOU,MID,96.0,130.2222222222222
341,James,Ward-Prowse,66,Southampton,SOU,MID,94.375,107.78819444444443
346,Nathan,Tella,47,Southampton,SOU,MID,18.5,30.666666666666664
347,William,Smallbone,45,Southampton,SOU,MID,14.5,20.166666666666664
349,Ibrahima,Diallo,45,Southampton,SOU,MID,31.0,62.0
350,Moussa,Djenepo,52,Southampton,SOU,MID,43.0,65.0
517,Mohamed,Elyounoussi,54,Southampton,SOU,MID,28.0,56.0
406,Mark,Noble,44,West Ham,WHU,MID,89.3076923076923,95.99830938292476
412,Andriy,Yarmolenko,51,West Ham,WHU,MID,38.0,50.11111111111111
416,Manuel,Lanzini,57,West Ham,WHU,MID,74.66666666666667,84.3968253968254
419,Saïd,Benrahma,59,West Ham,WHU,MID,73.0,146.0
420,Jarrod,Bowen,70,West Ham,WHU,MID,64.33333333333333,93.16666666666667
421,Declan,Rice,51,West Ham,WHU,MID,81.0,103.1
422,Tomas,Soucek,57,West Ham,WHU,MID,94.0,149.83333333333331
423,Pablo,Fornals,60,West Ham,WHU,MID,109.0,166.16666666666666
582,Nikola,Vlasic,56,West Ham,WHU,MID,18.0,36.0
144,Conor,Gallagher,62,Crystal Palace,CRY,MID,71.0,142.0
148,James,McArthur,43,Crystal Palace,CRY,MID,78.2,86.56909090909092
152,Luka,Milivojevic,53,Crystal Palace,CRY,MID,99.2,118.75999999999999
154,Wilfried,Zaha,68,Crystal Palace,CRY,MID,110.125,125.81944444444446
155,Jeffrey,Schlupp,54,Crystal Palace,CRY,MID,64.85714285714286,73.83163265306122
157,Jairo,Riedewald,47,Crystal Palace,CRY,MID,36.333333333333336,50.708333333333336
160,Eberechi,Eze,59,Crystal Palace,CRY,MID,125.0,250.0
386,Will,Hughes,47,Crystal Palace,CRY,MID,74.5,109.66666666666666
53,Adam,Lallana,53,Brighton,BHA,MID,81.44444444444444,88.44691358024691
55,Pascal,Groß,57,Brighton,BHA,MID,109.0,134.39999999999998
57,Davy,Pröpper,45,Brighton,BHA,MID,61.5,74.025
60,Solomon,March,53,Brighton,BHA,MID,68.75,85.05
64,Leandro,Trossard,59,Brighton,BHA,MID,118.0,179.33333333333331
66,Alireza,Jahanbakhsh,55,Brighton,BHA,MID,28.333333333333332,37.27777777777778
70,Yves,Bissouma,44,Brighton,BHA,MID,53.0,72.55555555555556
73,Steven,Alzate,48,Brighton,BHA,MID,34.0,51.166666666666664
74,Alexis,Mac Allister,52,Brighton,BHA,MID,30.0,48.0
75,Jakub,Moder,45,Brighton,BHA,MID,21.0,42.0
426,João Filipe Iria,Santos Moutinho,49,Wolves,WOL,MID,101.66666666666667,133.0
434,Leander,Dendoncker,47,Wolves,WOL,MID,75.0,101.6111111111111
435,Adama,Traoré,56,Wolves,WOL,MID,67.0,83.54666666666665
436,Rúben Diogo,da Silva Neves,53,Wolves,WOL,MID,101.66666666666667,135.55555555555554
438,Daniel,Castelo Podence,55,Wolves,WOL,MID,50.0,79.16666666666666
440,Morgan,Gibbs-White,45,Wolves,WOL,MID,23.333333333333332,30.277777777777782
441,Pedro,Lomba Neto,64,Wolves,WOL,MID,90.5,141.33333333333331
442,Owen,Otasowie,45,Wolves,WOL,MID,9.0,18.0
661,Bruno André,Cavaco Jordão,45,Wolves,WOL,MID,1.0,2.0
33,Jack,Grealish,75,Man City,MCI,MID,68.8,85.648
250,Ilkay,Gündogan,71,Man City,MCI,MID,104.25,132.525
251,Kevin,De Bruyne,118,Man City,MCI,MID,142.42857142857142,164.8244897959184
254,Riyad,Mahrez,87,Man City,MCI,MID,154.14285714285714,176.06632653061226
255,Raheem,Sterling,107,Man City,MCI,MID,159.77777777777777,179.47901234567902
261,Bernardo Mota,Veiga de Carvalho e Silva,72,Man City,MCI,MID,119.0,147.6
265,Phil,Foden,79,Man City,MCI,MID,59.25,79.375
266,Rodrigo,Hernandez,55,Man City,MCI,MID,91.5,137.16666666666666
268,Ferran,Torres,67,Man City,MCI,MID,95.0,190.0
453,Fernando,Luiz Rosa,47,Man City,MCI,MID,85.875,95.79166666666667
566,Tommy,Doyle,45,Man City,MCI,MID,1.0,2.0
145,Billy,Gilmour,43,Norwich,NOR,MID,8.5,12.666666666666666
316,Marco,Stiepermann,50,Norwich,NOR,MID,32.0,64.0
317,Lukas,Rupp,44,Norwich,NOR,MID,19.0,38.0
318,Kenny,McLean,49,Norwich,NOR,MID,77.0,154.0
320,Onel,Hernández,49,Norwich,NOR,MID,52.0,104.0
323,Kieran,Dowell,51,Norwich,NOR,MID,4.0,8.0
325,Todd,Cantwell,53,Norwich,NOR,MID,111.0,222.0
330,Josh,Martin,50,Norwich,NOR,MID,5.0,10.0
354,Moussa,Sissoko,44,Watford,WAT,MID,73.88888888888889,81.45185185185184
378,Dan,Gosling,47,Watford,WAT,MID,35.36363636363637,39.33057851239669
381,Tom,Cleverley,48,Watford,WAT,MID,53.6,58.65272727272728
385,Nathaniel,Chalobah,50,Watford,WAT,MID,14.8,18.272
391,Ken,Sema,52,Watford,WAT,MID,37.0,74.0
397,Domingos,Quina,45,Watford,WAT,MID,10.5,15.285714285714285
399,Ismaila,Sarr,57,Watford,WAT,MID,107.0,214.0
101,Jack,Cork,44,Burnley,BUR,MID,63.7,70.36181818181818
102,Dale,Stephens,44,Burnley,BUR,MID,55.75,66.7
107,Ashley,Westwood,53,Burnley,BUR,MID,78.88888888888889,88.2320987654321
108,Johann Berg,Gudmundsson,54,Burnley,BUR,MID,67.2,79.55999999999999
115,Josh,Brownhill,43,Burnley,BUR,MID,47.5,75.66666666666666
116,Josh,Benson,45,Burnley,BUR,MID,10.0,20.0
118,Dwight,McNeil,57,Burnley,BUR,MID,78.0,102.3
575,Aaron,Lennon,49,Burnley,BUR,MID,79.14285714285714,83.76462585034014
81,Sergi,Canós,55,Brentford,BRE,MID,1.0,2.0
699,Christian,Eriksen,55,Brentford,BRE,MID,156.85714285714286,178.07653061224488
269,Edinson,Cavani,84,Man Utd,MUN,FWD,99.0,198.0
278,Anthony,Martial,76,Man Utd,MUN,FWD,126.33333333333333,147.31746031746033
579,Cristiano Ronaldo,dos Santos Aveiro,123,Man Utd,MUN,FWD,244.33333333333334,323.6666666666667
187,Rodrigo,Moreno,62,Leeds,LEE,FWD,58.0,92.16666666666666
189,Patrick,Bamford,77,Leeds,LEE,FWD,76.66666666666667,112.16666666666667
4,Pierre-Emerick,Aubameyang,96,Arsenal,ARS,FWD,157.0,197.9
6,Alexandre,Lacazette,83,Arsenal,ARS,FWD,137.75,171.25
20,Edward,Nketiah,54,Arsenal,ARS,FWD,18.5,24.549999999999997
109,Chris,Wood,67,Newcastle,NEW,FWD,74.71428571428571,89.45918367346938
296,Callum,Wilson,72,Newcastle,NEW,FWD,104.83333333333333,124.94444444444446
300,Dwight,Gayle,52,Newcastle,NEW,FWD,59.333333333333336,68.42753623188406
307,Allan,Saint-Maximin,68,Newcastle,NEW,FWD,88.5,132.16666666666666
310,Joelinton Cássio,Apolinário de Lira,58,Newcastle,NEW,FWD,76.0,113.66666666666666
357,Harry,Kane,123,Spurs,TOT,FWD,159.55555555555554,179.92181069958846
520,Dane,Scarlett,45,Spurs,TOT,FWD,1.0,2.0
40,Ollie,Watkins,75,Aston Villa,AVL,FWD,168.0,336.0
47,Wesley,Moraes,54,Aston Villa,AVL,FWD,35.0,47.166666666666664
48,Mbwana Ally,Samatta,55,Aston Villa,AVL,FWD,29.0,58.0
49,Keinan,Davis,45,Aston Villa,AVL,FWD,24.0,35.900000000000006
337,Danny,Ings,77,Aston Villa,AVL,FWD,99.5,118.21999999999998
120,Olivier,Giroud,65,Chelsea,CHE,FWD,105.22222222222223,114.78518518518518
126,Michy,Batshuayi,55,Chelsea,CHE,FWD,38.0,45.45333333333333
134,Timo,Werner,86,Chelsea,CHE,FWD,128.0,256.0
136,Tammy,Abraham,65,Chelsea,CHE,FWD,77.5,101.0625
529,Romelu,Lukaku,115,Chelsea,CHE,FWD,163.57142857142858,186.64285714285714
177,Dominic,Calvert-Lewin,77,Everton,EVE,FWD,97.6,121.57333333333334
180,Richarlison,de Andrade,75,Everton,EVE,FWD,141.5,176.95
545,Nathan,Broadhead,45,Everton,EVE,FWD,1.0,2.0
564,Moise,Kean,60,Everton,EVE,FWD,27.5,36.99999999999999
591,Salomón,Rondón,60,Everton,EVE,FWD,121.0,152.3
622,Cenk,Tosun,50,Everton,EVE,FWD,34.75,41.12500000000001
205,Jamie,Vardy,103,Leicester,LEI,FWD,178.0,204.51020408163262
213,Kelechi,Iheanacho,69,Leicester,LEI,FWD,69.66666666666667,82.03174603174602
228,Roberto,Firmino,87,Liverpool,LIV,FWD,162.0,188.34126984126985
235,Divock,Origi,48,Liverpool,LIV,FWD,42.0,48.0
344,Daniel,N'Lundulu,45,Southampton,SOU,FWD,13.0,26.0
345,Che,Adams,70,Southampton,SOU,FWD,107.5,166.16666666666666
348,Michael,Obafemi,45,Southampton,SOU,FWD,15.75,20.2
518,Armando,Broja,55,Southampton,SOU,FWD,1.0,2.0
519,Shane,Long,54,Southampton,SOU,FWD,70.5,75.9369658119658
525,Adam,Armstrong,57,Southampton,SOU,FWD,9.0,14.333333333333332
413,Michail,Antonio,76,West Ham,WHU,FWD,111.16666666666667,129.5493827160494
149,Christian,Benteke,60,Crystal Palace,CRY,FWD,100.11111111111111,109.67654320987656
153,Jordan,Ayew,58,Crystal Palace,CRY,FWD,80.16666666666667,94.07142857142857
159,Jean-Philippe,Mateta,52,Crystal Palace,CRY,FWD,15.0,30.0
63,Neal,Maupay,65,Brighton,BHA,FWD,118.0,174.83333333333331
72,Aaron,Connolly,53,Brighton,BHA,FWD,49.5,72.33333333333333
447,Danny,Welbeck,59,Brighton,BHA,FWD,58.0,62.619611158072686
500,Florin,Andone,50,Brighton,BHA,FWD,21.5,29.5
535,Andi,Zeqiri,45,Brighton,BHA,FWD,9.0,18.0
595,Jürgen,Locadia,44,Brighton,BHA,FWD,23.666666666666668,30.833333333333332
430,Raúl,Jiménez,76,Wolves,WOL,FWD,139.33333333333334,178.1111111111111
445,Fabio,Silva,56,Wolves,WOL,FWD,72.0,144.0
523,Patrick,Cutrone,50,Wolves,WOL,FWD,12.5,17.0
263,Gabriel Fernando,de Jesus,84,Man City,MCI,FWD,106.6,129.46666666666664
704,Liam,Delap,45,Man City,MCI,FWD,1.0,2.0
315,Teemu,Pukki,58,Norwich,NOR,FWD,139.0,278.0
322,Jordan,Hugill,54,Norwich,NOR,FWD,3.0,6.0
329,Adam,Idah,49,Norwich,NOR,FWD,13.0,26.0
380,Troy,Deeney,54,Watford,WAT,FWD,118.8,140.85333333333332
383,Andre,Gray,54,Watford,WAT,FWD,77.25,94.025
393,Isaac,Success Ajayi,50,Watford,WAT,FWD,24.666666666666668,31.75
395,Ashley,Fletcher,48,Watford,WAT,FWD,16.0,32.0
404,João Pedro,Junqueira de Jesus,54,Watford,WAT,FWD,3.0,6.0
468,Joshua,King,58,Watford,WAT,FWD,106.16666666666667,121.88271604938272
104,Jay,Rodriguez,52,Burnley,BUR,FWD,87.14285714285714,98.675
105,Ashley,Barnes,52,Burnley,BUR,FWD,82.66666666666667,95.6111111111111
111,Matej,Vydra,52,Burnley,BUR,FWD,36.4,43.90526315789474
533,Lewis,Richardson,44,Burnley,BUR,FWD,2.0,4.0
78,Ivan,Toney,65,Brentford,BRE,FWD,2.0,4.0
